myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday208,208,Frontier,1 of 2,168,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=168,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=168.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday209,209,Frontier,1 of 2,170,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=170,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=170.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday210,210,Frontier,1 of 2,172,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=172,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=172.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday211,211,Frontier,1 of 2,174,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=174,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=174.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday212,212,Frontier,1 of 2,176,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=176,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=176.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday226,226,Frontier,1 of 2,178,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=178,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=178.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday227,227,Frontier,1 of 2,180,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=180,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=180.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday228,228,Frontier,1 of 2,182,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=182,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=182.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday251,251,Frontier,1 of 3,184,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=184,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=184.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday252,252,Frontier,1 of 4,187,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=187,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=187.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday253,253,Frontier,1 of 2,191,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=191,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=191.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
