myid,runno,depot,page_1,page,day,Paddle,Paddle PC,Trip Sheet
SouthernWeekday210,210,Southern,1 of 2,68,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page68.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=68.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday211,211,Southern,1 of 3,70,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page70.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=70.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday212,212,Southern,1 of 2,73,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page73.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=73.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday213,213,Southern,1 of 2,75,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page75.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=75.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday214,214,Southern,1 of 1,77,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page77.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=77.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday215,215,Southern,1 of 2,78,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page78.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=78.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday216,216,Southern,1 of 2,80,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page80.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=80.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday217,217,Southern,1 of 2,82,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page82.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=82.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday218,218,Southern,1 of 2,84,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page84.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=84.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday219,219,Southern,1 of 2,86,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page86.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=86.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday275,275,Southern,1 of 3,88,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page88.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=88.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday276,276,Southern,1 of 3,91,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page91.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=91.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
